Longitude,Latitude
10.571073521021347,54.996542936349236
10.570962185436654,54.99649629184058
10.570832075774556,54.996470262307156
10.570694423551677,54.99646709470524
10.570561111347589,54.9964870624738
10.570319112556287,54.99654626210312
10.570194887718301,54.99659095930666
10.570100731716519,54.99665552020644
10.570062676524591,54.996709680022065
10.570011551020759,54.99672755150743
10.569952064960942,54.99676743387521
10.569896920731681,54.99677913349389
10.569781692580762,54.99683138096626
10.569744892548025,54.99685428086294
10.569663302868888,54.996924571425076
10.569623577646517,54.99700593058159
10.569629621108849,54.9970903628153
10.569680839612063,54.997169570554874
10.569772199874858,54.99723576962039
10.569797399896945,54.99724906968553
10.569919202806576,54.99729556484345
10.570059994963017,54.9973182320069
10.570121528192036,54.997316814781975
10.570217089745512,54.99736301041375
10.570352341235353,54.99739465252717
10.570497965998204,54.9974008412966
10.570639840775534,54.99738097651273
10.57081690387891,54.997338508491794
10.570817001210965,54.99733859795026
10.570929249131845,54.9973927387026
10.571065084367207,54.99742431891535
10.57121124269831,54.997430254795255
10.571353451805397,54.997409966707046
10.571612553104298,54.99734696631215
10.571737199922369,54.99730229850835
10.571831692189928,54.997237652341155
10.571886757811154,54.99715937135682
10.571896993619125,54.99707513700753
10.571861395489842,54.99699321488078
10.571784394585059,54.996889115157984
10.571764154474572,54.9968705121281
10.571762503267221,54.99686831914839
10.571710709787848,54.996821390107094
10.571706700956437,54.99681770550856
10.571706577595325,54.99681764600391
10.57168401068509,54.99679719852915
10.57162256957597,54.99676794744695
10.571607743956056,54.99673434203284
10.571583543676145,54.99670194211979
10.571505365959032,54.99663065908508
10.571392722838924,54.99657673676647
10.571256622811683,54.99654544488478
10.571110366654846,54.99653984152502
10.5710760052938,54.99654483010669
10.571073521021347,54.996542936349236
10.565704713618876,54.99904204337266
10.56564175340038,54.999118603840216
10.565623220529934,54.999202615527906
10.565646205762791,54.99927157102578
10.565619040718218,54.99930407294064
10.565599520438646,54.999387794579775
10.565626032999216,54.99947087855271
10.565695975200388,54.999545166220955
10.56575537503639,54.99958976640267
10.565861283956837,54.99964772699228
10.56590217143611,54.999659014247776
10.565919654747876,54.999672126809834
10.565972283008172,54.99971187083537
10.566078608699192,54.999770278212075
10.566211177130313,54.999806880621065
10.566356948331967,54.99981807768841
10.566501583581084,54.999802768020785
10.566630855900364,54.99976245754893
10.56687615641499,54.999654256973585
10.56697695652874,54.99959323925937
10.567040116164518,54.99951732761402
10.56705880565185,54.99943682714995
10.567123638123608,54.99942021596343
10.567132706133844,54.99941682790726
10.56719077442234,54.99939513969768
10.567299799368666,54.99933867910297
10.567373128531651,54.99926561164679
10.5674035809425,54.99918309287737
10.567388174656601,54.99909920387104
10.567378818473053,54.99908714086438
10.567365774625582,54.99903275320291
10.56733264462464,54.99899345284173
10.56733449509177,54.99898560765864
10.5673337948809,54.998967507662655
10.56730774702726,54.99888471768783
10.567238569237219,54.998810576498315
10.56713300061665,54.99875230649445
10.567001325122156,54.99871558397251
10.566856369754499,54.99870398619779
10.566818570007737,54.99870438619354
10.566817144858256,54.998704531503456
10.566815714881047,54.99870442140597
10.566801514976126,54.99870462140403
10.56677008758741,54.99870793390808
10.566715779752613,54.998673453003335
10.566591367197562,54.99863185158918
10.56654702944693,54.99862618747582
10.566458355741556,54.998602333490965
10.566312130344809,54.99859201089904
10.566167550419086,54.99860828028045
10.566140950562762,54.99861388024451
10.566012746537192,54.998654928377384
10.565912891729,54.99871674715806
10.565898707377688,54.99873433466137
10.565882314438136,54.99874301216577
10.56581038000085,54.99881652400201
